uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
Q03222	reviewed	RHO_BACSU	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho BSU37080	Bacillus subtilis 168	NP_391589.2; NC_000964.3.;WP_003221939.1; NZ_JNCM01000034.1.;	427	BSU37080	NA	GO:0003723; GO:0004386; GO:0005524; GO:0006353; GO:0008186; GO:0016887	DNA-templated transcription termination [GO:0006353]	unknown
Q03521	reviewed	MRAY_BACSU	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY BSU15190	Bacillus subtilis 168	NP_389402.2; NC_000964.3.;WP_003232192.1; NZ_JNCM01000035.1.;	324	BSU15190	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00038}.	GO:0005886; GO:0007049; GO:0008360; GO:0008963; GO:0009252; GO:0016780; GO:0044038; GO:0046872; GO:0051301; GO:0051992; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall macromolecule biosynthetic process [GO:0044038]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	inner membrane
Q03522	reviewed	MURD_BACSU	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD BSU15200	Bacillus subtilis 168	NP_389403.1; NC_000964.3.;WP_003232189.1; NZ_JNCM01000035.1.;	451	BSU15200	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm
Q04778	reviewed	ALSR_BACSU	HTH-type transcriptional regulator AlsR (Als operon regulatory protein)	alsR BSU36020	Bacillus subtilis 168	NP_391483.1; NC_000964.3.;WP_003227859.1; NZ_JNCM01000034.1.;	302	BSU36020	NA	GO:0003677; GO:0003700; GO:0006355; GO:0032993; GO:0045151	acetoin biosynthetic process [GO:0045151]; regulation of DNA-templated transcription [GO:0006355]	unknown
Q04796	reviewed	DAPA_BACSU	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA BSU16770	Bacillus subtilis 168	NP_389559.1; NC_000964.3.;WP_003245816.1; NZ_JNCM01000035.1.;	290	BSU16770	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 3/4. {ECO:0000255|HAMAP-Rule:MF_00418}.	GO:0005829; GO:0008700; GO:0008840; GO:0009089; GO:0009436; GO:0019877	diaminopimelate biosynthetic process [GO:0019877]; glyoxylate catabolic process [GO:0009436]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytoplasm
Q04810	reviewed	DPAB_BACSU	Dipicolinate synthase subunit B (DPA synthase subunit B) (EC 1.3.1.-) (Spore dipicolinate synthase subunit B) (Stage V sporulation protein FB)	dpaB spoVFB BSU16740 orfX	Bacillus subtilis 168	NP_389556.1; NC_000964.3.;WP_003244650.1; NZ_JNCM01000035.1.;	200	BSU16740	NA	GO:0016491; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
Q05522	reviewed	CHEB_BACSU	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)	cheB cheL BSU16420	Bacillus subtilis 168	NP_389524.2; NC_000964.3.;WP_003245823.1; NZ_JNCM01000035.1.;	357	BSU16420	NA	GO:0000156; GO:0005737; GO:0006935; GO:0008984; GO:0050568	chemotaxis [GO:0006935]	cytoplasm
Q06755	reviewed	ISPD_BACSU	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD yacM BSU00900	Bacillus subtilis 168	NP_387971.1; NC_000964.3.;WP_003235019.1; NZ_JNCM01000029.1.;	232	BSU00900	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 2/6.	GO:0016114; GO:0019288; GO:0050518	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	unknown
Q06796	reviewed	RL11_BACSU	Large ribosomal subunit protein uL11 (50S ribosomal protein L11) (BL11)	rplK relC tsp6 BSU01020	Bacillus subtilis 168	NP_387983.2; NC_000964.3.;WP_003156430.1; NZ_JNCM01000029.1.;	141	BSU01020	NA	GO:0003735; GO:0006412; GO:0022625; GO:0046677; GO:0070180	response to antibiotic [GO:0046677]; translation [GO:0006412]	unknown
Q06797	reviewed	RL1_BACSU	Large ribosomal subunit protein uL1 (50S ribosomal protein L1) (BL1)	rplA BSU01030	Bacillus subtilis 168	NP_387984.2; NC_000964.3.;WP_003235040.1; NZ_JNCM01000029.1.;	232	BSU01030	NA	GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0019843; GO:0022625	regulation of translation [GO:0006417]; translation [GO:0006412]	unknown
Q06798	reviewed	RL332_BACSU	Large ribosomal subunit protein bL33B (50S ribosomal protein L33 2)	rpmGB rpmG rpmG2 BSU00990	Bacillus subtilis 168	NP_387980.1; NC_000964.3.;WP_003156421.1; NZ_JNCM01000029.1.;	49	BSU00990	NA	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:0046677; GO:1990904	response to antibiotic [GO:0046677]; translation [GO:0006412]	unknown
Q07429	reviewed	AMTB_BACSU	Ammonium transporter (Membrane protein NrgA) (Protein AmtB)	nrgA amtB BSU36510	Bacillus subtilis 168	NP_391532.1; NC_000964.3.;WP_003227757.1; NZ_JNCM01000034.1.;	404	BSU36510	NA	GO:0005886; GO:0008519; GO:0072488	ammonium transmembrane transport [GO:0072488]	inner membrane
Q07876	reviewed	RSMH_BACSU	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW yllC ylxA BSU15140	Bacillus subtilis 168	NP_389397.1; NC_000964.3.;WP_003245724.1; NZ_JNCM01000035.1.;	311	BSU15140	NA	GO:0005737; GO:0070475; GO:0071424	rRNA base methylation [GO:0070475]	cytoplasm
Q08430	reviewed	KINB_BACSU	Sporulation kinase B (EC 2.7.13.3)	kinB BSU31450	Bacillus subtilis 168	NP_391023.2; NC_000964.3.;WP_003228853.1; NZ_JNCM01000033.1.;	428	BSU31450	NA	GO:0000155; GO:0005524; GO:0005886; GO:0030435; GO:0045881	positive regulation of sporulation resulting in formation of a cellular spore [GO:0045881]; sporulation resulting in formation of a cellular spore [GO:0030435]	inner membrane
Q45058	reviewed	COTM_BACSU	Spore coat protein M	cotM yneL BSU17970	Bacillus subtilis 168	NP_389680.1; NC_000964.3.;WP_010886520.1; NZ_JNCM01000035.1.;	130	BSU17970	NA	GO:0006457; GO:0009408; GO:0009651; GO:0030435; GO:0042542; GO:0043621; GO:0051082; GO:0051259	protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
Q45461	reviewed	OPUBB_BACSU	Choline transport system permease protein OpuBB	opuBB proW BSU33720	Bacillus subtilis 168	NP_391252.1; NC_000964.3.;WP_003228370.1; NZ_JNCM01000033.1.;	217	BSU33720	NA	GO:0005886; GO:0006865; GO:0031460; GO:0055085	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	inner membrane
Q45462	reviewed	OPUBC_BACSU	Choline-binding protein	opuBC proX BSU33710	Bacillus subtilis 168	NP_391251.1; NC_000964.3.;WP_003228372.1; NZ_JNCM01000033.1.;	306	BSU33710	NA	GO:0006865; GO:0022857; GO:0043190	amino acid transport [GO:0006865]	inner membrane
Q45477	reviewed	SYI_BACSU	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS BSU15430	Bacillus subtilis 168	NP_389426.2; NC_000964.3.;WP_003245512.1; NZ_JNCM01000035.1.;	921	BSU15430	NA	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428	isoleucyl-tRNA aminoacylation [GO:0006428]	cytoplasm
Q45479	reviewed	LSPA_BACSU	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp BSU15450	Bacillus subtilis 168	NP_389428.1; NC_000964.3.;WP_003245047.1; NZ_JNCM01000035.1.;	154	BSU15450	PATHWAY: Protein modification; lipoprotein biosynthesis (signal peptide cleavage). {ECO:0000255|HAMAP-Rule:MF_00161}.	GO:0004190; GO:0005886; GO:0006508	proteolysis [GO:0006508]	inner membrane
Q45480	reviewed	YLYB_BACSU	Uncharacterized RNA pseudouridine synthase YlyB (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	ylyB ylmL BSU15460	Bacillus subtilis 168	NP_389429.3; NC_000964.3.;WP_003245307.1; NZ_CP103783.1.;	303	BSU15460	NA	GO:0000455; GO:0003723; GO:0009982; GO:0120159	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	unknown
Q45495	reviewed	DEF2_BACSU	Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2)	defB ykrB BSU14560	Bacillus subtilis 168	NP_389339.1; NC_000964.3.;WP_003245474.1; NZ_JNCM01000035.1.;	184	BSU14560	NA	GO:0006412; GO:0042586; GO:0043686; GO:0046872	co-translational protein modification [GO:0043686]; translation [GO:0006412]	unknown
Q45535	reviewed	COTH_BACSU	Inner spore coat protein H	cotH ywrH BSU36060	Bacillus subtilis 168	NP_391487.1; NC_000964.3.;WP_003227854.1; NZ_JNCM01000034.1.;	362	BSU36060	NA	GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
Q45577	reviewed	AIMA_BACSU	Glutamate/serine transporter AimA (Amino acid importer A)	aimA ybeC BSU02120	Bacillus subtilis 168	NP_388094.2; NC_000964.3.;WP_003246447.1; NZ_JNCM01000030.1.;	539	BSU02120	NA	GO:0005886; GO:0006865; GO:0015293	amino acid transport [GO:0006865]	inner membrane
Q45593	reviewed	YYDI_BACSU	Probable peptide export ATP-binding protein YydI	yydI BSU40150	Bacillus subtilis 168	NP_391895.1; NC_000964.3.;WP_003242913.1; NZ_JNCM01000034.1.;	209	BSU40150	NA	GO:0005524; GO:0016887; GO:0042626; GO:0043190	NA	unknown
Q45601	reviewed	RLMH_BACSU	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH yydA BSU40230	Bacillus subtilis 168	NP_391903.1; NC_000964.3.;WP_003243164.1; NZ_JNCM01000034.1.;	159	BSU40230	NA	GO:0005737; GO:0070038	NA	cytoplasm
Q5BU39	reviewed	MSTX_BACSU	Protein mistic (Membrane-integrating protein MstX)	mstX BSU31321 BSU31320	Bacillus subtilis 168	WP_003228886.1; NZ_JNCM01000033.1.;YP_003097778.1; NC_000964.3.;	110	BSU31321	NA	GO:0005886	NA	inner membrane
Q795J3	reviewed	EPSN_BACSU	Putative pyridoxal phosphate-dependent aminotransferase EpsN (EC 2.6.1.-)	epsN yvfE BSU34230	Bacillus subtilis 168	NP_391303.2; NC_000964.3.;WP_009968194.1; NZ_JNCM01000033.1.;	388	BSU34230	NA	GO:0000271; GO:0008483; GO:0030170	polysaccharide biosynthetic process [GO:0000271]	unknown
Q795K2	reviewed	YVFT_BACSU	Sensor histidine kinase YvfT (EC 2.7.13.3)	yvfT BSU34070	Bacillus subtilis 168	NP_391287.1; NC_000964.3.;WP_003228300.1; NZ_JNCM01000033.1.;	371	BSU34070	NA	GO:0000155; GO:0005524; GO:0005886; GO:0046983	NA	inner membrane
Q795R2	reviewed	YTCQ_BACSU	Polygalacturonan/rhamnogalacturonan-binding protein YtcQ	ytcQ BSU30160	Bacillus subtilis 168	NP_390894.3; NC_000964.3.;WP_004398776.1; NZ_JNCM01000036.1.;	498	BSU30160	NA	GO:0005886; GO:0071702	organic substance transport [GO:0071702]	inner membrane
Q795Y4	reviewed	FDHL_BACSU	Putative formate dehydrogenase YrhE (EC 1.17.1.9)	yrhE BSU27220	Bacillus subtilis 168	NP_390600.1; NC_000964.3.;WP_010886582.1; NZ_JNCM01000036.1.;	980	BSU27220	NA	GO:0008863; GO:0015942; GO:0043546; GO:0045272; GO:0045333; GO:0046872; GO:0051537; GO:0051539	cellular respiration [GO:0045333]; formate metabolic process [GO:0015942]	unknown
Q796Y8	reviewed	BCP_BACSU	Peroxiredoxin Bcp (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Bcp)	ygaF bcp BSU08720	Bacillus subtilis 168	WP_003233532.1; NZ_JNCM01000032.1.;YP_054574.1; NC_000964.3.;	157	BSU08720	NA	GO:0005737; GO:0008379; GO:0034599; GO:0045454	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	unknown
Q796Z1	reviewed	NTDP_BACSU	Nucleoside triphosphate/diphosphate phosphatase (EC 3.6.1.15) (EC 3.6.1.6)	ygaC BSU08680	Bacillus subtilis 168	NP_388748.3; NC_000964.3.;WP_003223272.1; NZ_JNCM01000032.1.;	176	BSU08680	NA	GO:0000287; GO:0017110; GO:0017111	NA	unknown
Q797A7	reviewed	MTRTR_BACSU	Methylthioribose transporter	mtrA yfnA BSU07340	Bacillus subtilis 168	NP_388615.1; NC_000964.3.;WP_003242995.1; NZ_JNCM01000032.1.;	461	BSU07340	NA	GO:0000064; GO:0005886; GO:0006865; GO:0015171; GO:0015189; GO:0097638	amino acid transport [GO:0006865]; L-arginine import across plasma membrane [GO:0097638]	inner membrane
Q797E3	reviewed	PBUE_BACSU	Purine efflux pump PbuE	pbuE ydhL BSU05800	Bacillus subtilis 168	NP_388461.2; NC_000964.3.;WP_003234105.1; NZ_JNCM01000031.1.;	388	BSU05800	NA	GO:0005886; GO:0022857; GO:0055085	transmembrane transport [GO:0055085]	inner membrane
Q797E6	reviewed	FRA_BACSU	Intracellular iron chaperone frataxin (Fra) (Iron channeling protein frataxin)	fra ydhG BSU05750	Bacillus subtilis 168	NP_388456.1; NC_000964.3.;WP_003244145.1; NZ_JNCM01000031.1.;	123	BSU05750	NA	GO:0005737; GO:0006826; GO:0046872	iron ion transport [GO:0006826]	cytoplasm
Q797S1	reviewed	PTXBC_BACSU	Putative PTS system EIIBC component YbbF [Includes: Phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system EIIB component); Permease IIC component (PTS system EIIC component)]	ybbF BSU01680	Bacillus subtilis 168	NP_388049.3; NC_000964.3.;WP_003234968.1; NZ_JNCM01000030.1.;	455	BSU01680	NA	GO:0005886; GO:0008982; GO:0009401; GO:0016301; GO:0016310; GO:0090588	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]	inner membrane
Q7PC63	reviewed	ACPK_BACSU	Polyketide biosynthesis acyl-carrier-protein AcpK (ACP-II)	acpK BSU17130	Bacillus subtilis 168	NP_570904.1; NC_000964.3.;WP_003231809.1; NZ_JNCM01000035.1.;	82	BSU17130	PATHWAY: Antibiotic biosynthesis; bacillaene biosynthesis.	GO:0000035; GO:0000036; GO:0005829; GO:0009245; GO:0017000	antibiotic biosynthetic process [GO:0017000]; lipid A biosynthetic process [GO:0009245]	cytoplasm
Q7WY60	reviewed	MRPE_BACSU	Na(+)/H(+) antiporter subunit E (Mrp complex subunit E) (Multiple resistance and pH homeostasis protein E)	mrpE BSU31640	Bacillus subtilis 168	WP_003244015.1; NZ_JNCM01000033.1.;YP_054591.2; NC_000964.3.;	158	BSU31640	NA	GO:0005886; GO:0006814; GO:0008324; GO:0015297; GO:1902600	proton transmembrane transport [GO:1902600]; sodium ion transport [GO:0006814]	inner membrane
Q7WY72	reviewed	REMA_BACSU	Extracellular matrix regulatory protein A (Regulator of extracellular matrix A)	remA ylzA BSU15670	Bacillus subtilis 168	NP_570902.1; NC_000964.3.;WP_003154355.1; NZ_JNCM01000035.1.;	89	BSU15670	NA	GO:0003677	NA	unknown
Q99027	reviewed	COMP_BACSU	Sensor histidine kinase ComP (EC 2.7.13.3)	comP BSU31690	Bacillus subtilis 168	NP_391047.2; NC_000964.3.;WP_003242894.1; NZ_CP103783.1.;	769	BSU31690	NA	GO:0000155; GO:0005524; GO:0005886; GO:0030420; GO:0030435; GO:0046983	establishment of competence for transformation [GO:0030420]; sporulation resulting in formation of a cellular spore [GO:0030435]	inner membrane
Q99171	reviewed	TEPA_BACSU	Translocation-enhancing protein TepA	tepA ylxI ymfB BSU16790	Bacillus subtilis 168	NP_389561.3; NC_000964.3.;WP_003245712.1; NZ_JNCM01000035.1.;	245	BSU16790	NA	GO:0005737; GO:0006508; GO:0008233; GO:0015031	protein transport [GO:0015031]; proteolysis [GO:0006508]	cytoplasm
Q9JMQ2	reviewed	PPAX_BACSU	Pyrophosphatase PpaX (EC 3.6.1.1)	ppaX hprP ptsL yvoE BSU34970	Bacillus subtilis 168	NP_391377.1; NC_000964.3.;WP_003242685.1; NZ_JNCM01000033.1.;	216	BSU34970	NA	GO:0000287; GO:0004427; GO:0005829; GO:0006281; GO:0008967; GO:0016311	dephosphorylation [GO:0016311]; DNA repair [GO:0006281]	unknown
A0A2K4Z9J5	reviewed	BSRE_BACSU	Small toxic protein BsrE	bsrE BSU_18978	Bacillus subtilis 168	NA	30	NA	NA	GO:0005886	NA	inner membrane
A0A2K4Z9K4	reviewed	BSRH_BACSU	Probable small toxic protein BsrH	bsrH BSU_26055	Bacillus subtilis 168	WP_075058862.1; NZ_JNCM01000036.1.;	29	NA	NA	GO:0005886	NA	inner membrane
C0H3Q8	reviewed	YUZN_BACSU	Uncharacterized HTH-type transcriptional regulator YuzN	yuzN BSU32669	Bacillus subtilis 168	WP_009968126.1; NZ_JNCM01000033.1.;YP_003097781.1; NC_000964.3.;	92	BSU32669	NA	GO:0003677; GO:0003700; GO:0006355	regulation of DNA-templated transcription [GO:0006355]	unknown
C0H3R4	reviewed	RSOA_BACSU	Sigma-O factor regulatory protein RsoA	rsoA yvrHa BSU33222	Bacillus subtilis 168	WP_003228484.1; NZ_JNCM01000033.1.;YP_003097787.1; NC_000964.3.;	79	BSU33222	NA	NA	NA	unknown
C0H3S9	reviewed	YBZH_BACSU	Uncharacterized HTH-type transcriptional regulator YbzH	ybzH BSU01889	Bacillus subtilis 168	WP_003234907.1; NZ_JNCM01000030.1.;YP_003097670.1; NC_000964.3.;	100	BSU01889	NA	GO:0003677; GO:0003700; GO:0006355	regulation of DNA-templated transcription [GO:0006355]	unknown
C0H3Y8	reviewed	YJCZ_BACSU	Sporulation protein YjcZ	yjcZ BSU11809	Bacillus subtilis 168	WP_003232872.1; NZ_JNCM01000035.1.;YP_003097705.1; NC_000964.3.;	49	BSU11809	NA	GO:0016020; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
C0H404	reviewed	YKZR_BACSU	Probably inactive glycosylase YkzR	ykzR BSU13799	Bacillus subtilis 168	YP_003097720.1; NC_000964.3.;	83	BSU13799	NA	GO:0005975	carbohydrate metabolic process [GO:0005975]	unknown
C0H412	reviewed	SWRD_BACSU	Swarming motility protein SwrD	swrD ylzI BSU16299	Bacillus subtilis 168	WP_003231966.1; NZ_JNCM01000035.1.;YP_003097728.1; NC_000964.3.;	71	BSU16299	NA	GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]	unknown
C0SP79	reviewed	YTAF_BACSU	Probable sporulation protein YtaF	ytaF BSU29070	Bacillus subtilis 168	NP_390785.2; NC_000964.3.;WP_003229449.1; NZ_CP053102.1.;	210	BSU29070	NA	GO:0005886; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	inner membrane
C0SP80	reviewed	YTES_BACSU	Putative lipoprotein YteS	yteS BSU30110	Bacillus subtilis 168	NP_390889.2; NC_000964.3.;WP_010886596.1; NZ_JNCM01000036.1.;	167	BSU30110	NA	GO:0005886	NA	inner membrane
C0SP82	reviewed	YOAE_BACSU	Probable oxidoreductase YoaE (EC 1.-.-.-)	yoaE BSU18570	Bacillus subtilis 168	NP_389739.2; NC_000964.3.;WP_004399552.1; NZ_JNCM01000036.1.;	680	BSU18570	NA	GO:0016491; GO:0043546; GO:0046872; GO:0051536	NA	unknown
C0SP84	reviewed	YTLA_BACSU	Putative binding protein YtlA	ytlA ytlB BSU30595 BSU30590/BSU30600	Bacillus subtilis 168	NP_390937.2; NC_000964.3.;WP_003245977.1; NZ_JNCM01000036.1.;	334	BSU30595	NA	GO:0005886	NA	inner membrane
C0SP98	reviewed	YKFD_BACSU	Putative oligopeptide transport ATP-binding protein YkfD (EC 7.4.2.-)	ykfD BSU13000	Bacillus subtilis 168	NP_389183.2; NC_000964.3.;WP_009967074.1; NZ_JNCM01000035.1.;	329	BSU13000	NA	GO:0005524; GO:0015833; GO:0016887	peptide transport [GO:0015833]	unknown
C0SPA3	reviewed	YLXW_BACSU	UPF0749 protein YlxW	ylxW BSU15250	Bacillus subtilis 168	NP_389408.2; NC_000964.3.;WP_003245024.1; NZ_JNCM01000035.1.;	231	BSU15250	NA	GO:0007049; GO:0030435; GO:0051301	cell cycle [GO:0007049]; cell division [GO:0051301]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
C0SPA8	reviewed	YOBH_BACSU	DNA repair protein homolog YobH	yobH BSU18930	Bacillus subtilis 168	NP_389774.2; NC_000964.3.;	217	BSU18930	NA	GO:0003684; GO:0003887; GO:0005829; GO:0009432; GO:0042276	error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]	unknown
C0SPB0	reviewed	YTCI_BACSU	Uncharacterized acyl--CoA ligase YtcI (EC 6.2.1.-)	ytcI BSU29560	Bacillus subtilis 168	NP_390834.2; NC_000964.3.;WP_003229331.1; NZ_JNCM01000036.1.;	529	BSU29560	NA	GO:0004321; GO:0005524; GO:0006633; GO:0006637; GO:0015645; GO:0016405	acyl-CoA metabolic process [GO:0006637]; fatty acid biosynthetic process [GO:0006633]	unknown
C0SPB2	reviewed	YWTG_BACSU	Putative metabolite transport protein YwtG	ywtG BSU35830	Bacillus subtilis 168	NP_391464.2; NC_000964.3.;WP_003243731.1; NZ_JNCM01000034.1.;	457	BSU35830	NA	GO:0005355; GO:0005886; GO:0015293; GO:0016020; GO:0055085	transmembrane transport [GO:0055085]	inner membrane
C0SPB4	reviewed	YHAQ_BACSU	Uncharacterized ABC transporter ATP-binding protein YhaQ	yhaQ BSU09890	Bacillus subtilis 168	NP_388870.2; NC_000964.3.;WP_003233262.1; NZ_JNCM01000035.1.;	298	BSU09890	NA	GO:0005524; GO:0005886; GO:0016887	NA	inner membrane
C0SPB8	reviewed	YVAV_BACSU	Putative HTH-type transcriptional regulator YvaV	yvaV BSU33740	Bacillus subtilis 168	NP_391254.2; NC_000964.3.;WP_003243347.1; NZ_JNCM01000033.1.;	177	BSU33740	NA	GO:0003677; GO:0003700	NA	unknown
C0SPB9	reviewed	YKON_BACSU	Uncharacterized glycosyltransferase YkoN (EC 2.4.-.-)	ykoN BSU13350	Bacillus subtilis 168	NP_389218.2; NC_000964.3.;WP_003245161.1; NZ_JNCM01000035.1.;	373	BSU13350	NA	GO:0009247; GO:0016758	glycolipid biosynthetic process [GO:0009247]	unknown
L8EBJ6	reviewed	SSCB_BACSU	Probable small spore coat assembly protein B (ORF-62)	sscB BSU_09959	Bacillus subtilis 168	WP_003155248.1; NZ_JNCM01000035.1.;	28	BSU_09959	NA	GO:0016020; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
O05215	reviewed	YWRA_BACSU	Uncharacterized transporter YwrA	ywrA BSU36130	Bacillus subtilis 168	NP_391494.1; NC_000964.3.;WP_003227840.1; NZ_JNCM01000034.1.;	178	BSU36130	NA	GO:0005886; GO:0015109	NA	inner membrane
O05216	reviewed	YWRB_BACSU	Uncharacterized transporter YwrB	ywrB BSU36120	Bacillus subtilis 168	NP_391493.1; NC_000964.3.;WP_003227843.1; NZ_JNCM01000034.1.;	197	BSU36120	NA	GO:0005886; GO:0015109	NA	inner membrane
O05217	reviewed	YWRC_BACSU	Uncharacterized HTH-type transcriptional regulator YwrC	ywrC BSU36110	Bacillus subtilis 168	NP_391492.1; NC_000964.3.;WP_003242900.1; NZ_JNCM01000034.1.;	158	BSU36110	NA	GO:0005829; GO:0043200; GO:0043565	response to amino acid [GO:0043200]	unknown
O05224	reviewed	YWRK_BACSU	Putative arsenical pump membrane protein	ywrK BSU36030	Bacillus subtilis 168	NP_391484.1; NC_000964.3.;WP_010886626.1; NZ_JNCM01000034.1.;	442	BSU36030	NA	GO:0005886; GO:0015105; GO:0046685	response to arsenic-containing substance [GO:0046685]	inner membrane
O05235	reviewed	YUGF_BACSU	Uncharacterized hydrolase YugF (EC 3.1.-.-)	yugF BSU31420	Bacillus subtilis 168	NP_391020.1; NC_000964.3.;WP_003228858.1; NZ_JNCM01000033.1.;	273	BSU31420	NA	GO:0015994; GO:0047746	chlorophyll metabolic process [GO:0015994]	unknown
O05239	reviewed	YUGJ_BACSU	Probable NADH-dependent butanol dehydrogenase 1 (EC 1.1.1.-)	yugJ BSU31370	Bacillus subtilis 168	NP_391015.1; NC_000964.3.;WP_003228869.1; NZ_JNCM01000033.1.;	387	BSU31370	PATHWAY: Alcohol metabolism; butanol biosynthesis.	GO:0005829; GO:0008106; GO:0018455; GO:0046872; GO:0071271; GO:1990002; GO:1990362	1-butanol biosynthetic process [GO:0071271]	unknown
O05240	reviewed	YUGK_BACSU	Probable NADH-dependent butanol dehydrogenase 2 (EC 1.1.1.-)	yugK BSU31360	Bacillus subtilis 168	NP_391014.1; NC_000964.3.;WP_003228872.1; NZ_JNCM01000033.1.;	390	BSU31360	PATHWAY: Alcohol metabolism; butanol biosynthesis.	GO:0005829; GO:0008106; GO:0018455; GO:0046872; GO:0071271; GO:1990002; GO:1990362	1-butanol biosynthetic process [GO:0071271]	unknown
O05241	reviewed	YUGS_BACSU	UPF0053 protein YugS	yugS BSU31300	Bacillus subtilis 168	NP_391008.2; NC_000964.3.;WP_009968059.1; NZ_JNCM01000033.1.;	429	BSU31300	NA	GO:0005886; GO:0050660	NA	inner membrane
O05242	reviewed	O16G3_BACSU	Probable oligo-1,6-glucosidase 3 (EC 3.2.1.10) (Oligosaccharide alpha-1,6-glucosidase 3) (Sucrase-isomaltase 3) (Isomaltase 3)	yugT BSU31290	Bacillus subtilis 168	NP_391007.2; NC_000964.3.;WP_003243842.1; NZ_JNCM01000033.1.;	554	BSU31290	NA	GO:0004556; GO:0004574; GO:0005737; GO:0009313	oligosaccharide catabolic process [GO:0009313]	cytoplasm
